id,category_name,category_type,parent_id
1,MEN,1,0
2,WOMEN,1,0
3,TOPS,2,1
4,JACKETS,2,1
5,COATS,2,1
6,BOTTOMS,2,1
7,ALL-IN-ONE,2,1
8,TOPS,2,2
9,JACKETS,2,2
10,COATS,2,2
11,BOTTOMS,2,2
12,ALL-IN-ONE,2,2
13,ONE-PIECE&TUNIC,2,2
14,T-SHIRT,3,3
15,TANK TOP,3,3
16,POLO SHIRT,3,3
17,SHIRT,3,3
18,KNIT&SWEATER,3,3
19,HOODIE,3,3
20,PULLOVER,3,3
21,CARDIGAN,3,3
22,VEST,3,3
23,OTHERS,3,3
24,TAILORED JACKET,3,4
25,COACH JACKET,3,4
26,DENIM JACKET,3,4
27,BIKER JACKET,3,4
28,LEATHER JACKET,3,4
29,COVERALL JACKET,3,4
30,MILITARY JACKET,3,4
31,PADDED VEST&JACKET,3,4
32,DOWN VEST&JACKET,3,4
33,MOUNTAIN PARKA,3,4
34,VARSITY JACKET,3,4
35,SUKAJAN,3,4
36,OTHERS,3,4
37,DUFFEL COAT,3,5
38,FISHTAIL PARKA,3,5
39,PEACOAT,3,5
40,BALMACAAN COAT,3,5
41,TRENCH COAT,3,5
42,CHESTERFIELD COAT,3,5
43,PADDED COAT,3,5
44,DOWN COAT,3,5
45,OTHERS,3,5
46,DENIM JEANS,3,6
47,CARGO PANTS,3,6
48,CHINOS,3,6
49,SLACKS,3,6
50,TAPERED PANTS,3,6
51,SKINNY PANTS,3,6
52,JOGGERS,3,6
53,WIDE LEG PANTS,3,6
54,CROPPED PANTS,3,6
55,SHORTS,3,6
56,SARROUEL PANTS,3,6
57,OTHERS,3,6
58,ALL-IN-ONE,3,7
59,ENSEMBLE,3,8
60,CAMISOLE,3,8
61,TUBE TOP,3,8
62,T-SHIRT,3,8
63,TANK TOP,3,8
64,POLO SHIRT,3,8
65,SHIRT&BLOUSE,3,8
66,KNIT&SWEATER,3,8
67,HOODIE,3,8
68,PULLOVER,3,8
69,CARDIGAN,3,8
70,VEST,3,8
71,OTHERS,3,8
72,TAILORED JACKET,3,9
73,COLLARLESS JACKET,3,9
74,DENIM JACKET,3,9
75,BIKER JACKET,3,9
76,LEATHER JACKET,3,9
77,COVERALL JACKET,3,9
78,MILITARY JACKET,3,9
79,PADDED VEST&JACKET,3,9
80,DOWN VEST&JACKET,3,9
81,MOUNTAIN  PARKA,3,9
82,VARSITY JACKET,3,9
83,SUKAJAN,3,9
84,OTHERS,3,9
85,DUFFEL COAT,3,10
86,FISHTAIL PARKA,3,10
87,PEACOAT,3,10
88,BALMACAAN COAT,3,10
89,TRENCH COAT,3,10
90,CHESTERFIELD COAT,3,10
91,PADDED COAT,3,10
92,DOWN COAT,3,10
93,COLLARLESS COAT,3,10
94,OTHERS,3,10
95,DENIM JEANS,3,11
96,CARGO PANTS,3,11
97,CHINOS,3,11
98,SLACKS,3,11
99,TAPERED PANTS,3,11
100,SKINNY PANTS,3,11
101,WIDE LEG PANTS,3,11
102,CROPPED PANTS,3,11
103,SHORTS,3,11
104,SARROUEL PANTS,3,11
105,SKIRT,3,11
106,PANTSKIRT,3,11
107,CULOTTES,3,11
108,OTHERS,3,11
109,ALL-IN-ONE,3,12
110,TUNIC,3,13
111,ONE-PIECE DRESS,3,13
